1	12	İdârî Birimin Yeni Harflerle Adı	Eski Harflerle Adı	Unvani 1 raw	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli raw	Bagli 1 1	Bagli 1 2	Bagli 1 3	Bagli 1 4	Unvani 2 raw	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 raw	Bagli 2 1	Bagli 2 2	Bagli 2 3	Bagli 2 4	Unvani 3 raw	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 raw	Bagli 3 1	Bagli 3 2	Bagli 3 3	Bagli 3 4	Unvani 4 raw	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 raw	Bagli 4 1	Bagli 4 2	Bagli 4 3	Bagli 4 4	Unvani 5 raw	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 raw	Bagli 5 1	Bagli 5 2	Bagli 5 3	Bagli 5 4	Unvani 6 raw	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 raw	Bagli 6 1	Bagli 6 2	Bagli 6 3	Bagli 6 4	Unvani 7	Bagli 7	Unvani 8	Bagli 8	Unvani 9	Bagli 9	Unvani 10	Bagli 10	Unvani 11	Bagli 11	Unvani 12	Bagli 12	Unvani 13	Bagli 13	Unvani 14	Bagli 14
216	216	ALBARDO (Alberedo)	آلباردو	Kasaba	Kasaba			Virane>Venedik>İtalya		Virane	Venedik	İtalya																																																													
217	217	ALBAYRAK (Şikefti) (Derköy)	آلبايراق	Nahiye (1888)	Nahiye	1888		Başkale>Hakkâri>Van vilâyeti		Başkale	Hakkâri	Van vilâyeti	Nahiye (1924)	Nahiye	1924		Başkale>Van			Başkale	Van																																																				
218	218	ALELGARBİ	علی الغربی	Nahiye (1884)	Nahiye	1884		Merkez>Ammara>Basra vilâyeti		Merkez	Ammara	Basra vilâyeti																																																													
219	219	ALEŞŞARKÎ	علی الشرقی	Nahiye (1884)	Nahiye	1884		Merkez>Ammara>Basra vilâyeti		Merkez	Ammara	Basra vilâyeti																																																													
220	220	Alevî (HAKALA) (Hakala nahiyesinin diğer adı olarak nahiye. Sonra lağvedilmiş, köyleri şimdi Suluova’ya bağlı. 1928’de Alevî k.yü var, şimdi yok.)	علوی	Nahiye (1902)	Nahiye	1902		Merkez>Amasya>Sivas vilâyeti		Merkez	Amasya	Sivas vilâyeti	Nahiye (1928)	Nahiye	1928		Merkez>Amasya			Merkez	Amasya																																																				
221	221	ALICIK	آليجق	Nahiye (1865)	Nahiye	1865		Merzifon>Amasya>Sivas vilâyeti		Merzifon	Amasya	Sivas vilâyeti	Nahiye (1924)	Nahiye	1924		Merzifon>Amasya			Merzifon	Amasya																																																				
222	222	ALİAĞA	علی آغا	Nahiye	Nahiye			Menemen>İzmir			Menemen	İzmir	Kaza	Kaza			İzmir				İzmir																																																				
223	223	ALİBEY (Cunda)	علی بک	Nahiye (Cunda, Ayvalık’ta kü.ük bir adadır. Nahiye lağvedildi.)	Nahiye		Cunda, Ayvalık’ta kü.ük bir adadır. Nahiye lağvedildi.	Ayvalık>Balıkesir			Ayvalık	Balıkesir																																																													
224	224	ALİKAN	آليکان	Kaza	Kaza			Hanya>Girit>Yunanistan		Hanya	Girit	Yunanistan																																																													
225	225	ALİKİ	عليکی	Nahiye (Sarıkaya ilçesi bölgesinde idi.)	Nahiye		Sarıkaya ilçesi bölgesinde idi.	Bozok>Bozok>Zülkadriye eyâleti		Bozok	Bozok	Zülkadriye eyâleti																																																													
226	226	ALİMANTAR	علی منطار	Nahiye Mrk.	Nahiye merkezi			Elbeyli>Oğuzeli>Gaziantep		Elbeyli	Oğuzeli	Gaziantep																																																													
227	227	ALİNEK	آل اينک	Nahiye (1865)	Nahiye	1865		Erbaa>Tokat>Sivas vilâyeti		Erbaa	Tokat	Sivas vilâyeti	Köy	Köy			Karayaka>Erbaa>Tokat		Karayaka	Erbaa	Tokat																																																				
228	228	ALİŞAR	عليشار	Nahiye (1867)	Nahiye	1867		Merkez>K. Hisar-ı Şarkî>Sivas vilâyeti		Merkez	Karahisar-ı Şarkî	Sivas vilâyeti	Köy	Köy			Merkez>Şebinkarahisar>Giresun		Merkez	Şebinkarahisar	Giresun																																																				
229	229	ALİŞAR	عليشار	Nahiye	Nahiye			Zeytûn>Maraş>Halep vilâyeti		Zeytûn	Maraş	Halep vilâyeti	Köy	Köy			Merkez>Elbistan>Kahramanmaraş		Merkez	Elbistan	Kahramanmaraş																																																				
230	230	ALMUS (Büyük Almus) (1772 kayıtlarına göre “Tozanlı” dan ayrı olarak “Gâvurni-Kâfirni adıyla anılmış, sonra nahiye olmuş.)	آلموص	Köy	Köy			Kâfirni>Tokat>Sivas-Tokat>Rum eyâleti	Kâfirni	Tokat	Sivas-Tokat	Rum eyâleti	Nahiye (1865)	Nahiye	1865		Tokat>Sivas>Sivas vilâyeti		Tokat	Sivas	Sivas vilâyeti	Nahiye (1924)	Nahiye	1924		Merkez>Tokat			Merkez	Tokat	Kaza (1954)	Kaza	1954		Tokat				Tokat																																		
231	231	ALPKÖY (Kamarik)	آلپ کوی	Nahiye (1865)	Nahiye	1865		Kemah>Erzincan>Erzurum vilâyeti		Kemah	Erzincan	Erzurum vilâyeti	Köy	Köy			Kemah>Erzincan			Kemah	Erzincan																																																				
232	232	Alpsofu (Âb-ı Safî) (KARAPÜRÇEK)	آلپ صوفی	Kaza (1841)	Kaza	1841		Kocaeli>Hudavendigâr eyâleti			Kocaeli	Hudavendigâr eyâleti	Nahiye (1878)	Nahiye	1878		Adapazarı>İzmit>Şehremâneti		Adapazarı	İzmit	Şehremâneti	Nahiye (1954)	Nahiye	1954		Akyazı>Sakarya			Akyazı	Sakarya																																											
233	233	ALPU	آلپو	Köy (C.Ö.)	Köy		Cumhuriyetten önce	Merkez>Merkez>Eskişehir		Merkez	Merkez	Eskişehir	Nahiye	Nahiye			Merkez>Eskişehir			Merkez	Eskişehir	Kaza (~1990)	Kaza	~1990		Eskişehir				Eskişehir																																											
234	234	ALPULLU	آلپوللی	Nahiye (1865)	Nahiye	1865		Baba-yı Atik>Kırkkilise>Edirne vilâyeti		Baba-yı Atik	Kırkkilise	Edirne vilâyeti	Kasaba	Kasaba			Merkez>Babaeski>Kırklareli		Merkez	Babaeski	Kırklareli																																																				
235	235	ALTIKESEK	آلتی کسک	Nahiye (1865)	Nahiye	1865		Aziziye>Sivas>Sivas vilâyeti		Aziziye	Sivas	Sivas vilâyeti	Köy	Köy			Merkez>Pınarbaşı>Kayseri		Merkez	Pınarbaşı	Kayseri																																																				
236	236	ALTINAKAR	آلتون آقار	Nahiye	Nahiye			Merkez>Diyarbakır>Diyarbakır vilâyeti		Merkez	Diyarbakır	Diyarbakır vilâyeti	Köy	Köy			Merkez>Çınar>Diyarbakır		Merkez	Çınar	Diyarbakır																																																				
237	237	ALTINBAŞAK (Harran)	آلتون بشاق	Nahiye	Nahiye			Merkez>Ruha>Diyarbakır vilâyeti		Merkez	Ruha	Diyarbakır vilâyeti	Kaza (1867)	Kaza	1867		Urfa>Halep vilâyeti			Urfa	Halep vilâyeti	Nahiye (1946)	Nahiye	1946		Merkez>Şanlıurfa			Merkez	Şanlıurfa																																											
238	238	ALTINDAĞ	آلتون طاغ	Kaza (1953)	Kaza	1953		Ankara				Ankara																																																													
239	239	ALTINEKİN (Zıvarık)	آلتون اکين	Nahiye	Nahiye			Merkez>Konya			Merkez	Konya	Nahiye (1928)	Nahiye	1928		Cihanbeyli>Konya			Cihanbeyli	Konya	Kaza (~1990)	Kaza	~1990		Konya				Konya																																											
240	240	ALTINHİSAR (Anduğu) (Ortaköy)	آلتون حصار	Kaza	Kaza			Niğde>Karaman eyâleti			Niğde	Karaman eyâleti	Nahiye (1924)	Nahiye	1924		Bor>Niğde			Bor	Niğde	Kaza (~1990)	Kaza	~1990		Niğde				Niğde																																											
241	241	ALTINKÖPRÜ ve MELHA	آلتون کوپری وملحه	Kaza (19.yy.)	Kaza	19. yy.		Kerkük>Bağdad maa Şehrizor eyâleti			Kerkük	Bağdad maa Şehrizor eyâleti	Kaza	Kaza			Kerkük>Irak			Kerkük	Irak																																																				
242	242	ALTINOLUK	آلتون اولوق	Nahiye	Nahiye			Edremit>Balıkesir			Edremit	Balıkesir																																																													
243	243	ALTINOVA (Ayazmend)	آلتون اووه	Kaza (~1530)	Kaza	~1530		Karesi>Anadolu eyâleti			Karesi	Anadolu eyâleti	Nahiye (1841)	Nahiye	1841		Bergama>İzmir>Aydın eyâleti		Bergama	İzmir	Aydın eyâleti	Nahiye	Nahiye			Ayvalık>Balıkesir			Ayvalık	Balıkesir																																											
244	244	ALTINOVA	آلتون اووه	Köy	Köy			Merkez>Karamürsel>Kocaeli		Merkez	Karamürsel	Kocaeli	Kaza (1995)	Kaza	1995		Yalova				Yalova																																																				
245	245	ALTINÖZÜ	آلتون اوزی	Nahiye (17.yy.)	Nahiye	17. yy.		Merkez>Haleb>Haleb eyâleti		Merkez	Halep	Halep eyâleti	Kaza	Kaza			Antakya>Halep			Antakya	Halep	Nahiye (1865)	Nahiye	1865		Antakya>Halep>Halep vilâyeti		Antakya	Halep	Halep vilâyeti	Nahiye	Nahiye			Antakya>Hatay			Antakya	Hatay	Kaza (1945)	Kaza	1945		Hatay				Hatay																									
246	246	ALTINTAŞ	آلتون طاش	Nahiye (~1530)	Nahiye	~1530		Merkez>Kütahya>Anadolu eyâleti		Merkez	Kütahya	Anadolu eyâleti	Nahiye (1867)	Nahiye	1867		Merkez>Kütahya>Hudavendigâr vilâyeti		Merkez	Kütahya	Hudavendigâr vilâyeti	Kaza (1946)	Kaza	1946		Kütahya				Kütahya																																											
247	247	ALTINTAŞ	آلتون طاش	Köy	Köy			Yarımca>Nizip>Gaziantep		Yarımca	Nizip	Gaziantep	Kaza Mrk.	Kaza merkezi			Araban>Gaziantep			Araban	Gaziantep																																																				
248	248	ALTINYAKA (Gödene)	آلتون يقا	Nahiye (1958)	Nahiye	1958		Kumluca>Antalya			Kumluca	Antalya																																																													
249	249	ALTINYAYLÂ (Deliilyas) (Tonus)	آلتون يايلا	Nahiye	Nahiye			Şarkışla>Sivas			Şarkışla	Sivas	Kaza (~1990) (Deliilyas şimdi Altınyaylâ bucağına bağlı ayrı bir kasabadır)	Kaza	~1990	Deliilyas şimdi Altınyaylâ bucağına bağlı ayrı bir kasabadır	Sivas				Sivas																																																				
250	250	ALTINYAYLÂ (Dirmil)	آلتون يايلا	Nahiye (1924)	Nahiye	1924		Tefenni>Burdur			Tefenni	Burdur	Nahiye (1953)	Nahiye	1953		Gölhisar>Burdur			Gölhisar	Burdur	Kaza (~1990)	Kaza	~1990		Burdur				Burdur																																											
251	251	ALEKSANDROPOL	آلکساندروپول	Kaza	Kaza			Erivan>Ermenistan			Erivan	Ermenistan																																																													
252	252	ALEKSİNAÇ (Alexinatz)	آلکسيناچ	Kaza	Kaza			Niş>Sırbistan>Yugoslavya		Niş	Sırbistan	Yugoslavya																																																													
253	253	ALOŞTA (Alouchta)	آلوشته	Kasaba (Balıklova bölgesinde)	Kasaba		Balıklova bölgesinde	Kırım>Rusya			Kırım	Rusya																																																													
254	254	ALUCA maa GÜLANBER	علوجه مع کلعنبر	Kaza (1855)	Kaza	1855		Süleymaniye>Bağdad maa Şehrizor eyâleti			Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
255	255	ALUCRA (Mesudiye)	آلوجره	Nahiye (16.yy.)	Nahiye	16. yy.		Merkez>K. Hisar-ı Şarkî>Rum eyâleti		Merkez	Karahisar-ı Şarkî	Rum eyâleti	Kaza (1846)	Kaza	1846		K. Hisar-ı Şarkî>Trabzon eyâleti			Karahisar-ı Şarkî	Trabzon eyâleti	Kaza (1867)	Kaza	1867		K.Hisar-ı Şarkî>Sivas vilâyeti			Karahisar-ı Şarkî	Sivas vilâyeti	Kaza (1924)	Kaza	1924		Şebinkarahisar				Şebinkarahisar	Kaza (1933)	Kaza	1933		Giresun				Giresun																									
256	256	ALUS (Cezire-i Alus)	آلوس	Nahiye (~1530)	Nahiye	~1530		Ana ve Hit>Diyarbakır eyâleti			Ana ve Hit	Diyarbakır eyâleti	Kaza	Kaza			Bağdad>Irak			Bağdad	Irak																																																				
257	257	Alut (DAMLACIK) (Tavsi)	علوط	Nahiye (1877)	Nahiye	1877		Kâhta>Malatya>Mamûretülaziz vilâyeti		Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye (1924)	Nahiye	1924		Kâhta>Malatya			Kâhta	Malatya	Nahiye (1954)	Nahiye	1954		Kâhta>Adıyaman			Kâhta	Adıyaman																																											
258	258	Alyan (OYALI) (Dalakavasır)	آليان	Nahiye	Nahiye			Nusaybin>Mardin			Nusaybin	Mardin	Nahiye (1937)	Nahiye	1937		İdil>Mardin			İdil	Mardin																																																				
259	259	AMÂRA	عماره	Sancak (1862)	Sancak	1862		Bağdad eyâleti				Bağdad eyâleti	Sancak (1887)	Sancak	1887		Basra vilâyeti				Basra vilâyeti																																																				
260	260	AMARYA (Mirona)	آماريه	Kaza	Kaza			Resmo>Girit>Yunanistan		Resmo	Girit	Yunanistan																																																													
261	261	AMASRA	( آماصره (آماصری	Kaza (1841)	Kaza	1841		Viranşehir>Kastamonu eyâleti			Viranşehir	Kastamonu eyâleti	Nahiye	Nahiye			Bartın>Bolu>Kastamonu eyâleti		Bartın	Bolu	Kastamonu eyâleti	Nahiye (1924)	Nahiye	1924		Bartın>Zonguldak			Bartın	Zonguldak	Kaza (1991)	Kaza	1991		Bartın				Bartın																																		
262	262	AMASYA	آماسيه	Eyâlet Merk (1386)	Eyâlet merkezi	1386		Rum eyâleti				Rum eyâleti	Sancak (1518)	Sancak	1518		Rum eyâleti				Rum eyâleti	Sancak (1537-1551)	Sancak	1537-1551		Anadolu eyâleti				Anadolu eyâleti																																											
263	263	AMASYA-ÇORUM	آماسيه - چوروم	Sancak (1841)	Sancak	1841		Sivas eyâleti				Sivas eyâleti																																																													
264	264	AMASYA	آماسيه	Sancak (1856)	Sancak	1856		Sivas vilâyeti				Sivas vilâyeti	Vilâyet (1924)	Vilâyet	1924		Amasya				Amasya																																																				
265	265	Amasya (Amasya-i Aydın) (DEĞİRMENBÜKÜ)	آماسيه	Nahiye (~1530)	Nahiye	~1530		Yenişehir>Aydın>Anadolu eyâleti		Yenişehir	Aydın	Anadolu eyâleti	Kaza (1841)	Kaza	1841		Aydın>Aydın eyâleti			Aydın	Aydın eyâleti	Köy	Köy			Merkez>Bozdoğan>Aydın		Merkez	Bozdoğan	Aydın																																											
266	266	Amat (TEZEREN)	آماد	Nahiye (1865)	Nahiye	1865		Eleşkirt>Bayazıt>Erzurum		Eleşkirt	Bayazıt	Erzurum	Köy	Köy			Merkez>Merkez>Ağrı		Merkez	Merkez	Ağrı																																																				
267	267	Âmid (Karaâmid) (DİYARBAKIR)	آمد	Sancak (Merkez sancağı)	Sancak		Merkez sancağı	Diyarbakır eyâleti				Diyarbakır eyâleti																																																													
268	268	ÂMİD-İ GARBİ (Garb)	آمدغربی	Nahiye (~1530)	Nahiye	~1530		Merkez>Âmid>Diyarbakır eyâleti		Merkez	Âmid	Diyarbakır eyâleti	Nahiye (1867)	Nahiye	1867		Merkez>Diyarbakır>Diyarbakır vilâyeti		Merkez	Diyarbakır	Diyarbakır vilâyeti																																																				
269	269	ÂMİD-İ ŞARKÎ (Şark)	آمدشرقی	Nahiye (~1530)	Nahiye	~1530		Merkez>Âmid>Diyarbakır eyâleti		Merkez	Âmid	Diyarbakır eyâleti	Nahiye (1912’de mevcut, sonraları lağvedilmiş.)	Nahiye		1912’de mevcut, sonraları lağvedilmiş.	Merkez>Diyarbakır>Diyarbakır vilâyeti		Merkez	Diyarbakır	Diyarbakır vilâyeti																																																				
270	270	AMÎK	عميق	Nahiye (1517)	Nahiye	1517		Arap vilâyeti				Arap vilâyeti																																																													
271	271	AMİKOVA maa REYHANLI	عميق اووه مع ريحانلو	Kaza (1520)	Kaza	1520		Halep>Halep eyâleti			Halep	Halep eyâleti																																																													
272	272	AMİKİ maa MÜNBİÇ	عميقی مع منبيچ	Kaza (Bu kazanın otuz k.yünden hiçbiri Türkiye’de g.rünmüyor. Münbi. de halen Halep’e bağlıdır.)	Kaza		Bu kazanın otuz köyünden hiçbiri Türkiye’de g.rünmüyor. Münbi. de halen Halep’e bağlıdır.	Kilis>Haleb eyâleti			Kilis	Halep eyâleti																																																													
273	273	AMİRA	عامره	Kaza (1865)	Kaza	1865		Havran>Suriye vilâyeti			Havran	Suriye vilâyeti																																																													
274	274	AMMAN	عمان	Başşehir	Başşehir			Ürdün				Ürdün																																																													
275	275	AMRAN (Umran)	عمران	Sancak (16.yy.)	Sancak	16. yy.		Yemen eyâleti				Yemen eyâleti	Kaza (19.yy.)	Kaza	19. yy.		Sana>Yemen vilâyeti			Sana	Yemen vilâyeti																																																				
276	276	Amutka (YENİBAŞ)	آموتقه	Nahiye (1888)	Nahiye	1888		Merkez>Dersim>Mam.retülaziz vilâyeti		Merkez	Dersim	Mamûretülaziz vilâyeti	Nahiye (1926)	Nahiye	1926		Hozat>Elâzığ			Hozat	Elâzığ	Köy	Köy			Çağlarca>Hozat>Tunceli		Çağlarca	Hozat	Tunceli																																											
277	277	ANA ve HİT	عنه وهيت	Sancak (~1520)	Sancak	~1520		Diyarbakır eyâleti				Diyarbakır eyâleti																																																													
278	278	ANA	عنه	Sancak (1534)	Sancak	1534		Bağdad eyâleti				Bağdad eyâleti	Sancak (17.yy.)	Sancak	17. yy.		Rakka eyâleti				Rakka eyâleti	Sancak	Sancak			Bağdad eyâleti				Bağdad eyâleti	Kaza (1850-64)	Kaza	1850-64		Düleym>Bağdad maa Şehrizor eyâleti			Düleym	Bağdad maa Şehrizor eyâleti	Kaza	Kaza			Bağdad>Bağdad>Irak		Bağdad	Bağdad	Irak																									
279	279	ANABOLU (Navplion)	آنابولی	Sancak (17. yy.)	Sancak	17. yy.		Mora eyâleti				Mora eyâleti	Sancak (1827)	Sancak	1827		Yunanistan				Yunanistan																																																				
280	280	ANADOLU (Ankara, Kütahya)	آناطولی	Eyâlet (1393-1841)	Eyâlet	1393-1841		Anadolu eyâleti				Anadolu eyâleti																																																													
281	281	Anamas (AKSU)	آنماس	Nahiye (~1530)	Nahiye	~1530		Eğirdir>Hamid>Anadolu eyâleti		Eğirdir	Hamid	Anadolu eyâleti	Nahiye (1924)	Nahiye	1924		Eğirdir>Isparta			Eğirdir	Isparta	Kaza (~1990)	Kaza	~1990		Isparta				Isparta																																											
282	282	ANAMUR (Mamûriye) (Çorak)	آنامور	Kaza (16.yy.)	Kaza	16. yy.		İçil>Karaman eyâleti			İçil	Karaman eyâleti	Kaza (1608)	Kaza	1608		İçil>Adana eyâleti			İçil	Adana eyâleti	Kaza (1924)	Kaza	1924		İçil>(Silifke)			İçil	(Silifke)	Kaza (1933)	Kaza	1933		İçel>(Mersin)			İçel	(Mersin)																																		
283	283	ANAPA	آناپه	Kasaba	Kasaba			Çerkezistan				Çerkezistan	Kasaba (Müstahkem bir kasabadır. Savaşlara sahne olmuş, Osmanlı- Rusya arasında defaatle el değiştirmiştir. Edirne antlaşmasıyla Rusya’ya bırakılmıştır.)	Kasaba		Müstahkem bir kasabadır. Savaşlara sahne olmuş, Osmanlı- Rusya arasında defaatle el değiştirmiştir. Edirne antlaşmasıyla Rusya’ya bırakılmıştır.	Abaza bölgesi>Rusya			Abaza bölgesi	Rusya																																																				
284	284	ANAPOLİS (Sultaniye)	آناپوليس	Kaza Mrk. (1867)	Kaza merkezi	1867		Esfakya>Hanya>Girit vilâyeti		İsfakya	Hanya	Girit vilâyeti	Kaza (1913)	Kaza	1913		Esfakya>Hanya>Yunanistan		İsfakya	Hanya	Yunanistan																																																				
285	285	Anavarza (Anazarba) (DİLEKKAYA)	آناوارزه	Kale	Kale			Sis>Sis>Arap vilâyeti		Sis	Sis	Arap vilâyeti	Köy	Köy			Merkez>Kozan>Adana		Merkez	Kozan	Adana																																																				
286	286	ANBAR	آنبار	Antik şehir	Antik şehir			Bağdad>Irak			Bağdad	Irak																																																													
287	287	ANCUZ	عنجوز	Nahiye (1928’de bu adda köy var, şimdi bulunamadı)	Nahiye		1928’de bu adda köy var, şimdi bulunamadı	Merkez>Erganimadeni>Diyarbakır		Merkez	Erganimadeni	Diyarbakır																																																													
288	288	ANDRİYAS	آندرياس	Köy	Köy			Akşehirâbâd>Merkez>K.Hisar-ı Şarkî>Rum eyâleti	Akşehirâbâd	Merkez	Karahisar-ı Şarkî	Rum eyâleti	Kaza Mrk. (1805)	Kaza merkezi	1805		Suşehri>K.Hisar-ı Şarkî>Trabzon eyâleti		Suşehri	Karahisar-ı Şarkî	Trabzon eyâleti	Kaza Mrk. (1933)	Kaza merkezi	1933		Suşehri>Sivas			Suşehri	Sivas																																											
289	289	ANDIRIN (Andıran)	آندرين	Nahiye	Nahiye			Maraş>Maraş>Zülkadriye eyâleti		Maraş	Maraş	Zülkadriye eyâleti	Kaza (1855)	Kaza	1855		Maraş>Adana eyâleti			Maraş	Adana eyâleti	Kaza (1866)	Kaza	1866		Maraş>Halep vilâyeti			Maraş	Halep vilâyeti	Nahiye (1908)	Nahiye	1908		Göksun>Müs.Maraş Sancağı			Göksun	Müstakil Maraş Sancağı	Kaza (1925)	Kaza	1925		Kahramanmaraş				Kahramanmaraş																									
290	290	ANDİ	آندی	Kaza	Kaza			Dağıstan>Rusya			Dağıstan	Rusya																																																													
291	291	ANDİFLİ	آندفلی	Kaza Mrk.	Kaza merkezi			Kaş>Antalya			Kaş	Antalya																																																													
292	292	ANDİMİLO (Andimilos)	آنديميلو	Ada	Ada			Ege denizi>Yunanistan			Ege denizi	Yunanistan																																																													
293	293	Anduğu (Ortaköy) (ALTINHİSAR)	آندوغی	Kaza (16.yy.)	Kaza	16. yy.		Niğde>Karaman eyâleti			Niğde	Karaman eyâleti	Nahiye (1924)	Nahiye	1924		Bor>Niğde			Bor	Niğde	Kaza (~1990)	Kaza	~1990		Niğde				Niğde																																											
294	294	Ani (OCAKLI)	آنی	Antik şehir	Antik şehir			Ani				Ani	Köy	Köy			Merkez>Merkez>Kars		Merkez	Merkez	Kars																																																				
295	295	ANİS (Bilâd-ı Anis) (Zoran)	آنس	Sancak (1545)	Sancak	1545		Yemen eyâleti				Yemen eyâleti	Kaza (19.yy.)	Kaza	19. yy.		Sana>Yemen vilâyeti			Sana	Yemen vilâyeti	Nahiye	Nahiye			Zimar>Sana>Yemen Vilâyeti		Zimar	Sana	Yemen vilâyeti																																											
296	296	Ank (YEŞİLÖREN)	آنق	Nahiye (1517)	Nahiye	1517		Birecik>Arap vilâyeti			Birecik	Arap vilâyeti	Köy	Köy			Merkez>Halfeti>Şanlıurfa		Merkez	Halfeti	Şanlıurfa																																																				
297	297	ANKARA	آنقره	Eyâlet Mrk. (1393)	Eyâlet merkezi	1393		Anadolu eyâleti				Anadolu eyâleti	Sancak (1461)	Sancak	1461		Anadolu eyâleti				Anadolu eyâleti	Eyâlet (1841)	Eyâlet	1841		Ankara eyâleti				Ankara eyâleti	Sancak (1849)	Sancak	1849		Bozok eyâleti				Bozok eyâleti	Vilâyet (1867)	Vilâyet	1867		Ankara vilâyeti				Ankara vilâyeti	Başkent (1923) (1836-1847 “Redîf-i Mansûre Ankara Müşirliği” adı altında eyâlet, 1847-1867 arası kâh Ankara, Kâh Bozok eyâlet olmuştur.)	Başkent	1923	1836-1847 “Redîf-i Mansûre Ankara Müşirliği” adı altında eyâlet, 1847-1867 arası kâh Ankara, Kâh Bozok eyâlet olmuştur.)	Ankara				Ankara																
298	298	ANKİSTRİ	آنکيستری	Ada	Ada			Yunanistan				Yunanistan																																																													
299	299	ANMERKUNG (Yeri tesbit edilemedi).	آنمرقونغ	Sancak (1520)	Sancak	1520		Diyarbakır eyâleti				Diyarbakır eyâleti																																																													
300	300	Antab (TUTAK)	عنتاب	Kaza (1865)	Kaza	1865		Bayazıt>Erzurum eyâleti			Bayazıt	Erzurum eyâleti	Kaza (1925)	Kaza	1925		Bayazıt				Bayazıt	Kaza (1938)	Kaza	1938		Ağrı				Ağrı																																											
301	301	ANTAKYA	آنتاکيه	Nahiye (1517)	Nahiye	1517		Halep>Arap vilâyeti			Halep	Arap vilâyeti	Sancak (17. yy.)	Sancak	17. yy.		Halep eyâleti				Halep eyâleti	Kaza (1865)	Kaza	1865		Halep>Halep vilâyeti			Halep	Halep vilâyeti	Sancak (1918)	Sancak	1918		Müstakil Antakya Sancağı				Müstakil Antakya Sancağı	Vilâyet Mrk. (939)	Vilâyet merkezi	1939		Hatay				Hatay																									
302	302	ANTALYA	آنتاليه	Sancak Mrk. (16. yy.)	Sancak merkezi	16. yy.		Teke>Anadolu eyâleti			Teke	Anadolu eyâleti	Sancak Mrk. (1846)	Sancak merkezi	1846		Teke>Karaman eyâleti			Teke	Karaman eyâleti	Sancak Mrk. (1865)	Sancak merkezi	1865		Teke>Konya vilâyeti			Teke	Konya vilâyeti	Müs. Sancak (1914)	Müstakil sancak	1914		Teke sancağı				Teke sancağı	Vilâyet (1924)	Vilâyet	1924		Antalya				Antalya																									
303	303	ANTİPAKSOS	آنتيپاقسوس	Ada	Ada			Yunanistan				Yunanistan																																																													
304	304	ANTİPARO	آنتيپارو	Ada	Ada			Yunanistan				Yunanistan																																																													
305	305	Anzağır (KEVENDÜZÜ)	آنزغر	Nahiye (~1530)	Nahiye	~1530		Divriği>Darende-Divriği>Rum eyâleti		Divriği	Darende-Divriği	Rum eyâleti	Köy	Köy			Merkez>Divriği>Sivas		Merkez	Divriği	Sivas																																																				
306	306	AR	عر	Nahiye (1871)	Nahiye	1871		Cebel-i Haraz>Yemen vilâyeti			Cebel-i Haraz	Yemen vilâyeti																																																													
307	307	ARAB (Şam)	عرب	Vilâyet (1517)	Vilâyet	1517	Fethi Müteakip Suriye, Güney ve Güneydoğu Anadolu’nun bazı yerlerini kapsayan bu vilâyet sonra eyâlet oldu.	Arap vilâyeti				Arap vilâyeti																																																													
308	308	ARABAN (Altıntaş)	عربان	Nahiye (1517)	Nahiye	1517		Birecik>Arap vilâyeti			Birecik	Arap vilâyeti	Nahiye (1524)	Nahiye	1524		Merkez>Ayntab>Halep eyâleti		Merkez	Ayıntab	Halep eyâleti	Kaza (1957)	Kaza	1957		Gaziantep				Gaziantep																																											
309	309	ARABAT (Arbat)	آرابات	Sancak (1435)	Sancak	1435		Kırım eyâleti (hanlığı)				Kırım eyâleti (hanlığı)		Kale		Yarımadanın kuzeydoğusunda	Kırım>Rusya			Kırım	Rusya																																																				
310	310	ARABE	عرابه	Kasaba	Kasaba			Akka>Akka>Beyrut>Lübnan	Akka	Akka	Beyrut	Lübnan																																																													
311	311	ARAÇ	آراچ	Kaza (1841)	Kaza	1841		Kastamonu>Kastamonu eyâleti			Kastamonu	Kastamonu eyâleti	Kaza (1865)	Kaza	1865		Kastamonu>Kastamonu vilâyeti			Kastamonu	Kastamonu vilâyeti	Kaza (1924)	Kaza	1924		Kastamonu				Kastamonu																																											
312	312	ARAD	آراد	Sancak (1551)	Sancak	1551		Tımışvar eyâleti				Tımışvar eyâleti	Kontluk (1685)	Kontluk	1685		Macaristan				Macaristan																																																				
313	313	ARAKLI (Karadere)	آراقلی	Nahiye	Nahiye			Sürmene>Trabzon			Sürmene	Trabzon	Kaza (1953)	Kaza	1953		Trabzon				Trabzon																																																				
314	314	ARALIK (Başkend)	آرالق	Nahiye	Nahiye			Iğdır>Bayazıt			Iğdır	Bayazıt	Nahiye (1924)	Nahiye	1924		Iğdır>Kars			Iğdır	Kars	Kaza (1960)	Kaza	1960		Kars				Kars	Kaza (1995)	Kaza	1995		Iğdır				Iğdır																																		
