ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
BOLAMAN (Lâleli) ,بولامان ,Nahiye (1520)#Kaza (1647)#Nahiye (1868)#Nahiye (1924)#SatılmışCanikRum eyâleti#OrduTrabzon eyâleti#OrduTrabzon Trabzon vilâyeti#FatsaOrdu#
BOLAYIR ,بولاير ,Nahiye (1865)#Nahiye (1924)#GeliboluGeliboluEdirne vilâyeti#GeliboluÇanakkale#
BOLGRAD ,بولغراد ,Kasaba BesarabyaRusya#
BOLU ,بولی ,Sancak Mrk. (16.yy.)#Sancak Mrk. (1841)#Sancak (1864)#Müs. Sancak (1908)#Vilâyet (1924)#KonurapaAnadolu eyâleti#ViranşehirKastamonu eyâleti#Kastamonu vilâyeti#Bolu sancağı#Bolu#
BOLVADİN (Bolivadin) ,بولوادين ,Kaza (1530)#Kaza (1841)#Kaza (1924)#K.Hisarı SahibAnadolu eyâleti#K.Hisarı SahibHudavendigâr eyâleti#Afyonkarahisar#
BOMBA ,بومبا ,Nahiye MerkezDerneBingaziLibya#
Bonbat (CEVİZLİK) ,بنباط ,Nahiye ŞirvanSiirt#
BOPAKÇA ,بوپاقچه ,Nahiye (1877) PreşovaPriştineKosova#
BOR ,بور ,Kaza (17.yy.)#Kaza (1865)#Kaza (1924)#NiğdeKaraman eyâleti#NiğdeKonya vilâyeti#Niğde#
BOR maa DAİCİ ,بور مع دعيجی ,Kaza (1849) BasraBağdad maa Şehrizor eyâleti#
BORA ,بوره ,Kasaba DimyatMısır hıdiviyeti#
BORÇKA ,بورچقه ,Köy#Kaza (1585)#Kaza (1878)#Kaza (1921)#Nahiye (1926)#Kaza (1928)#İskeleArhaviTrabzonRum eyâleti#LazistanTrabzon eyâleti#Çarlık Rusya#RizeTrabzon vilâyeti#MerkezArtvin#Artvin#
BORBOÇKA ,بوربوچقه ,Nahiye (1874) KesriyeGöriceManastır#
BORİSOVGRAD (Hacı İlyas) ,بوريسوغراد ,Kaza (1878)#Kaza#HasköyRumeli-i Şarkî vilâyeti#FilibeBulgaristan eyâleti#
Borlu (Taraklıborlu) (Zağferanbolu) (SAFRANBOLU) ,بورلی ,Kaza (1530)#Kaza (1811-1864)#Kaza (1865)#Kaza (1924)#Kaza (1995)#BoluAnadolu eyâleti#ViranşehirKastamonu eyâleti#Kastamonu vilâyeti#Zonguldak#Karabük#
BORLU (Demirciborlu) (Borlu-i Saruhan) ,بورلی ,Nahiye (16.yy.)#Kaza (1841)#Nahiye (1867)#Nahiye (1959)#DemirciSaruhanAnadolu eyâleti#SaruhanAydın eyâleti#GördesAydın vilâyeti#DemirciManisa#
BORNOVA (Birunâbâd) ,بورنوه ,Nahiye (16.yy.)#Nahiye (1841)#Nahiye (1867)#Nahiye (1924)#Kaza (1958)#İzmirSığlaKaptanpaşa eyâleti#İzmirSığlaAydın eyâleti#MerkezİzmirAydın vilâyeti#Merkezİzmir#İzmir#
BORSOD (Mişkoliç) ,بورسود ,Eyâlet (Kontluk) Macaristan#
BOSFOR ,بوسفور ,Boğaz (İstanbul ve Azak#boğazlarının uluslararası#adı.)#İstanbul ve Azak#
"BOSNA (Bosnien) (Saraybosna) (Merkezleri: 1537’de Saraybosna, 1592’de Banaluka, 1639’da Saraybosna, 1722’de Trovnik, 1851’de Saraybosna.) ",بوسنه ,Sancak (1463)#Eyâlet (1580)#Vilâyet (1866)#Vilâyet (1878)#Federasyon#Devlet#Rumeli eyâleti#Bosna eyâleti#Bosna vilâyeti#Avusturya-Macaristan#Yugoslavya (1920)#Bosna-Hersek#
BOŞAT ,بوشاط ,Nahiye (1881) Merkezİşkodraİskodra vilâyeti#
BOT ,بوط ,Nahiye (1865) MerkezMusulVan eyâleti#
BOTNA ,بوطنه ,Kaza (1878) Boğdan eyâletiRomanya#
BOTOCANİ (Botoşani) ,بوطوجانی ,Kaza (1878) Boğdan eyâletiRomanya#
BOYABAT ,بوی آباد ,Kaza (1841)#Kaza (1865)#Kaza (1924)#KastamonuAnadolu eyâleti#SinopKastamonu vilâyeti#Sinop#
BOYALI (Susuz) ,بويالی ,Kaza (1841)#Nahiye (1865)#Nahiye (1924)#KastamonuKastamonu eyâleti#AraçKastamonu vilâyeti#AraçKastamonu#
BOYALIK ,بويالق ,Kaza Mrk. ÇiçekdağıKırşehir#
BOYALIK (Hadımköy) ,بويالق ,Nahiye (1926) Çatalcaİstanbul#
BOYER ,بوير ,Nahiye HumusHamaSuriye vilâyeti#
Bozâbâd (BOZOVA) ,بوزآباد ,Nahiye (1867)#Nahiye (1924)#Kaza (1930)#MerkezUrfaHalep vilâyeti#YaylâkUrfa#Şanlıurfa#
BOZADUKÇA ,بوزادوقچه ,Kaza (1812) Sırp eyâleti#
BOZAĞA ATMALUSU ,بوزآغه آطملوسی ,Nahiye (Aşiret olmalıdır.#Ağcalar ve Harmancık#köyleriyle 12 köy bu#nahiyeye bağlı idi.)#PazarcıkMaraşHalep vilâyeti#
BOZAĞAÇ ,بوزآغاچ ,Nahiye (17.yy.)#Köy#GülnarİçilKaraman eyâleti#MerkezGülnarİçel#
BOZAT ,بوزآت ,Nahiye (1530)#Köy#OrduCanikRum eyâleti#MerkezPirazizGiresun#
BOZATLU (Mozatlu) ,بوزآتلو ,Kaza (1849) AnkaraBozok eyâleti#
BOZATLU ,بوزآتلو ,Nahiye (16.yy.) MerkezKayseriKaraman eyâleti#
BOZBABA (Hagios) (Aistrati) ,بوزبابا ,Nahiye ve ada (1867)#Nahiye (1913)#LimniLimniC.Bahrisefid#LimniLimniYunanistan#
BOZBURUN ,بوزبرون ,Nahiye MarmarisMuğla#
BOZCAADA (Tenedos) ,بوزجه آطه ,Sancak (1867)#Kaza#Kaza (1924)#Cezayir-i Bahr-i Sefid vilâyeti#LimniC.Bahrisefid vilâyeti#Çanakkale#
BOZDOĞAN ,بوزطوغان ,Kaza (c.ö.)#Kaza (1924)#AydınAydın vilâyeti#Aydın#
BOZKIR (Siristad) ,بوزقير ,Nahiye (16.yy.)#Kaza (1840)#Kaza (1989)#SeydişehirBeyşehirKaraman eyâleti#KonyaKaraman eyâleti#Karaman#
BOZKURT ,بوزقورت ,Kaza (1953’te Abana#bölgesinde kuruldu.)#Kastamonu#
BOZKURT ,بوزقورت ,Nahiye#Kaza (1990)#ÇardakDenizli#Denizli#
BOZLU ,بوزلی ,Nahiye (1870) BulanıkMaraşHalep vilâyeti#
BOZOĞLAK (İhtik) (Aşağıihtik) ,بوز اوغلاق ,Nahiye (1865)#Nahiye (1924)#KemahErzincanEzrurum vilâyeti#KemahErzincan#
"BOZOK (Yozgat) (Sancağın ilk Mrk., şimdi Şefaatlı bölgesinde kalan “Kızılkoca” nahiyesinin bir k.yüdür. Bozok, sancağın son merkezidir. 1927’de adı Yozgat olmuştur.) ",بوز اوق ,Sancak (1530)#Sancak (16.yy.)#Eyâlet (1846)#Sancak (1872)#Vilâyet (1924)#Vilâyet (1927)#Zülkadriye eyâleti#Sivas eyâleti#Bozok eyâleti#Ankara vilâyeti#Bozok vilâyeti#Yozgat#
BOZOVA (Bozâbâd) ,بوزاووه ,Nahiye#Nahiye (1924)#Kaza (1930)#MerkezUrfaHalep vilâyeti#YaylâkUrfa#Şanlıurfa#
BOZOVA ,بوزاووه ,Kaza (1562) Büyük EflâkEflâk eyâleti#
BOZOVA (Zivint) ,بوزاووه ,Nahiye KorkuteliAntalya#
BOZTEPE ,بوز تپه ,Kasaba#Kaza (1990)#MerkezMerkezKırşehir#Kırşehir#
BOZTEPE (Yenimüslüman) ,بوز تپه ,Nahiye (1530#Nahiye (1924)#ZileSivas-TokatRum eyâleti#ZileTokat#
BOZÜYÜK ,بوز اويوک ,Nahiye (1888)#Kaza (1926)#SöğütBilecikHudavendigâr vilâyeti#Bilecik#
BOZÜYÜK ,بوز اويوک ,Kaza (16.yy.)#Nahiye (1882)#Köy (c.s.)#MenteşeAnadolu eyâleti#MenteşeAydın vilâyeti#MerkezYatağanMuğla#
BOZYAKA ,بوز يقا ,Nahiye Mrk. BeşkonakManavgatAntalya#
BOZYAZI ,بوز يازی ,Kasaba#Kaza (1990)#MerkezAnamurİçel#İçel#
BÖGÜRDELEN (Şabaç) ,بوکردلن ,Kaza (1867) Sırp eyâleti-Yugoslavya#
BÖĞÜRTLEN ,بوکردلن ,Nahiye BirecikŞanlıurfa#
BÖLÜKYAZI (Simek) (Hivris) ,بولوک يازی ,Nahiye (1878)#Nahiye (1935)#MerkezBitlisBitlis vilâyeti#MerkezBitlis#
BRAZZA ,برازه ,Ada (Dalmaçya sahilinde.#Eski Avusturya’ya ait.)#Avusturya#
BUAR ,بعار ,Kasaba Cezayir#
BUCA ,بوجا ,Köy#Nahiye (1924)#Kaza#MerkezMerkezİzmir#Merkezİzmir#İzmir#
Bucak (ORDU) (1869’dan itibaren Ordu adını aldı.) ,بوجاق ,Nahiye (1816)#Sancak (1862)#GiresunTrabzonTrabzon eyâleti#Trabzon eyâleti#
BUCAK ,بوجاق ,Kaza (1847)#Nahiye (1888)#LazkiyeSayda eyâleti#MerkezBeyrut vilâyeti#
BUCAK (Beğdeş) ,بوجاق ,Nahiye (16.yy.)#Nahiye (1924)#MerkezSiverekDiyarbakır eyâleti#SiverekŞanlıurfa#
BUCAK (Oğuzhan) ,بوجاق ,Kaza (16.yy.)#Nahiye (1865)#Kaza (1926)#TekeKaraman eyâleti#AntalyaTekeKonya vilâyeti#Burdur#
BUCAKKIŞLA ,بوجاق قشله ,Nahiye (1865)#Nahiye (1989)#KaramanKonya#MerkezKaraman#
BUCAKTATARI ,بوجاق تاتاری ,Sancak (1812)#Sancak (Bucak bölgesinde Akkirman#ve Bender sancakları bulunduğu#halde burada iskan edilen Tatarlar#ayrı bir sancak oluşturmuştur. Bucak#bölgesi 1484-1812 arası Osmanlı’da#kalmıştır. Bucak Tatarları buradan#Dobruca’ya g..müştür.)#Silistre eyâleti#.zü eyâleti#
BUCAK maa ŞURE ,بوجاق مع شوره ,Kaza (1846) Malatya maa HarputHarput eyâleti#
Budaközü (Kalınsaz) (SUNGURLU) ,بوداق اوزی ,Nahiye (16.yy.)#Nahiye (17.yy.)#Nahiye (19.yy.)#Kaza (1866)#Kaza (1867)#Kaza (1924)#KırşehirBozokZürkadriye eyâleti#MerkezYozgatSivas eyâleti#ÇorumYozgatSivas eyâleti#AnkaraBozok eyâleti#ÇorumAnkara vilâyeti#Çorum#
BUDAPEŞTE (Budin) ,بوده پشته ,Başşehir (Osmanlı#döneminde (1540-1686)#Budin eyâleti idi.)#Macaristan# 
BUĞDAYLI (Kavak) ,بوغدايلی ,Nahiye GönenBalıkesir#
BUHARKENT (Çubukdağı) (Burhaniye) ,بخارکند ,Nahiye (1956)#Kaza (1990)#KuyucakAydın#Aydın# 
BUHAYRA (Demenhûr) ,بحيره ,Sancak (19. yy.) Mısır eyâleti#
BUHTAN ,بوهتان ,Kaza Mrk. (18.yy.)#Kaza Mrk.#ZahoMardinDiyarbakır eyâleti#ZahoMusulIrak#
BUKBAK ,بوقباق ,Sancak (1663) Uyvar eyâleti#
BULAK ,بولاق ,Kasaba KahireMısır#
BULANCAK (Akköy) ,بولانجق ,Nahiye (1847)#Nahiye (1868)#Nahiye (1924)#Kaza (1934)#OrduOrduTrabzon eyâleti#GiresunTrabzonTrabzon vilâyeti#MerkezGiresun#Giresun#
Bulanık (BAHÇE) ,بولانق ,Köy#Kaza (17.yy.)#Kaza (1878)#Kaza (1996)#MaraşMaraşZülkadriye eyâleti#MaraşMaraş eyâleti#CebelibereketAdana vilâyeti#Osmaniye#
BULANIK (Kop) ,بولانق ,Kaza (1855)#Kaza (1884)#Kaza (1924)#MuşErzurum eyâleti#MuşBitlis#Muş#
BULDAN (Çarşamba) ,بولدان ,Kaza (16.yy.)#Kaza (1882)#Kaza (1924)#KütahyaAnadolu eyâleti#DenizliAydın vilâyeti#Denizli#
Bulgar Madeni (Hamidiye) (Maden) (ÇAMARDI) ,بولغار معدنی ,Kaza (16.yy.)#Kaza (1865)#Nahiye (1922)#Kaza (1948)#NiğdeKaraman eyâleti#NiğdeKonya vilâyeti#MerkezNiğde#Niğde#
BULGARİSTAN (Sofya) ,بولغارستان ,Eyâlet (1878)#Krallık (1908)#Bulgar eyâleti (Prensliği)#Bulgaristan#
BULGARLU ve DÜNDARLU ,بولغارلو و دندارلو ,Nahiye (Sarıçam ile Seyhan#nehri arasında idi.)#AdanaAdanaArap vilâyeti#
BULUCAN (Emirhan) ,بوليجان ,Nahiye ZaraSivas#
BUNE (Annâbe) ,بونه ,Şehir (1540)#Şehir (1832)#Şehir (1962)#Cezayir eyâleti#Fransa#AnnâbeCezayir#
BURÇ ,بورج ,Nahiye#Nahiye (1990)#MerkezGaziantep#ŞahinbeyGaziantep#
BURDUR ,بوردور ,Kaza (1530)#Kaza (1844)#Sancak (1871)#Vilâyet (1924)#HamidAnadolu eyâleti#HamidKaraman eyâleti#Konya vilâyeti#Burdur#
BURGAZ (Bergos) (Ahyolu Burgazı) ,بورغاز ,Sancak (1878)#Vilâyet (1908)#Rumeli-i Şarkî vilâyeti#Bulgaristan#
BURGAZ ,بورغاز ,Nahiye (1878) AdalarŞehremâneti#
BURHANİYE (Kemer Edremid) ,برهانيه ,Kaza (1878)#Kaza (1924)#KaresiHudavendigâr vilâyeti#Balıkesir#
BURHANİYE ,برهانيه ,Nahiye Mrk. ÇubukdağıKuyucakAydın#
BURSA ,بروسه ,Başkent (1326-1366)#Sancak Mrk. (1366)#Eyâlet Mrk. (1839)#Vilâyet Mrk.(1867)#Vilâyet (1924)#HudavendigârAnadolu eyâleti#Hudavendigâr eyâleti#Hudavendigâr vilâyeti#Bursa#
BUSAN ,بوسان ,Nahiye (1865) Cebelidür.zŞamSuriye vilâyeti#
BUSAYRA ,بصيره ,Nahiye (1865) Uşare (Aşare)ZorSuriye vilâyeti#
BUSRA (Busra eş-Şam) ,بصری ,Kaza (Antik şehir) HavranSuriye vilâyeti#
BUTRİNTO (Butrintom) ,بوترينتو ,"Kasaba (Sahilde, Korfo adası#karşısında.)#Arnavutluk#"
BUVAZİÇ ,بوازيچ ,Kasaba MusulIrak#
BUYANE ,بويانه ,Nahiye (1881) Merkezİşkodraİşkodra vilâyeti#
BUYANOFÇA ,بويانوفچه ,Nahiye (1877) PreşovaPriştineKosova vilâyeti#
BÜBLÜ ,ببلو ,Nahiye (1530) GergerGerger-KâhtaRum eyâleti#
BÜĞED ,بوگد ,Nahiye (1850) KöysancakKerkükBağdad maa#Şehrizor eyâleti#
Bük (ÇEÇ) ,بوک ,Kaza (1867) DramaSelânik vilâyeti#
BÜKREŞ (Bucureşti) ,بکرش ,Eyâlet Mrk. (1698) Eflâk eyâleti#
BÜKREŞ maa AYLİFO ,بکرش مع آيلفو ,Kaza (18.yy.) Büyük EflâkEflâk eyâleti#
BÜKREŞ ,بکرش ,Başşehir (1862)#Romanya#
BÜLEYD ,بليد ,Nahiye MedineS.Arabistan#
BÜLEYDE ,بليده ,Şehir Cezayir#
BÜNYAN (Bünyanülhamid) (Sarmısaklı) ,بنيان ,Kaza (1890)#Kaza (1911)#SivasSivas vilâyeti#Kayseri#
BÜREYDE (Buraydah) ,بريده ,Şehir RiyadS.Arabistan#
BÜRÜNGÜZ ,برونکوز ,Nahiye (1865)#Köy#AziziyeSivasSivas vilâyeti#MerkezBünyanKayseri#
BÜŞÜRÜM ,بشروم ,Nahiye (1865)#Köy#ReşadiyeTokatSivas vilâyeti#MerkezReşadiyeTokat#
BÜYÜKADA (Beyadası) ,بويوک آطه ,Sancak Mrk. (1899)#Kaza Mrk. (1909)#AdalarŞehremâneti#Adalarİstanbul vilâyeti#
BÜYÜKÇEKMECE ,بويوک چکمجه ,Kaza (1876)#Nahiye (1926)#Kaza#Çatalca sancağı#Çatalcaİstanbul#İstanbul#
BÜYÜKDOĞANCA ,بويوک طوغانجه ,Kaza Mrk. (1913) MeriçEdirne#
BÜYÜKECELİ ,بويوک اجه لی ,Nahiye Mrk. OvacıkGülnarİçel#
BÜYÜKKALE ,بويوک قلعه ,Nahiye Mrk. BoğaziçiTireİzmir#
BÜYÜKKARAKARLI ,بويوک قره قارلی ,Nahiye#Naliye (1924)#Köy#HayraboluTekfurdağıEdirne#HayraboluTekirdağ#DambaslarTekirdağ#
BÜYÜKKARIŞTIRAN ,بويوک قاريشديران ,Nahiye (Bayazıt ile oğlu#Yavuz’un ordularının#savaştığı yer.)#LüleburgazKırklareli#
BÜYÜKKÖY ,بويوک کوی ,Nahiye ÇayeliRize#
BÜYÜKLİMAN (Fol) ,بويوک ليمان ,Kaza Merk. (1868)#Kaza Mrk. (1924)#VakfıkebirTrabzonTrabzon vilâyeti#VakfıkebirTrabzon#
BÜYÜKORHAN (Orhan-ı Kebir) ,بويوک اورخان ,Nahiye#Kaza (1990)#OrhaneliBursa#Bursa#
BÜYÜKŞAMLI (Şeyhşami-i Kebir) ,بويوک شاملی ,Nahiye Mrk. (1867)#Kaza Mrk. (1960)#KonurKalecikAnkaraAnkara vilâyeti#SulakyurtAnkara#
BÜYÜKYURT (Hakis) (Dereova) ,بويوک يورد ,Nahiye (1926)#Nahiye (1936)#NazımiyeErzincan#NazımiyeTunceli#
CABARA ,جبارا ,Nahiye (1879) MerkezŞehrizorMusul vilâyeti#
CABER (Türkmezarı) ,جعبر ,Kale ve kasaba RakkaHalepHalep vilâyeti#
CABİRÜLENSAR ,خابرالانصار ,Nahiye Mrk. YardımcıMerkezŞanlıurfa#
Cacas (YÜCEBAĞ) ,جاجاس ,Nahiye SasonSiirt#
CAFERİYE ,جعفريه ,Nahiye (1871) Cebel-i RimeHudeydeYemen vilâyeti#
Cala (DOĞRUYOL) ,جالا ,Nahiye (1926) ÇıldırKars#
CALU maa UCLE ,جالو مع اوجله ,Kaza BingaziLibya#
CAMİAYN (Hille) ,جامعين ,Kaza (1779)#Sancak (1831)#Kaza#DivaniyeBağdad maa Şehrizor eyâleti#Bağdad eyâleti#Divaniye Bağdad vilâyeti#
CAMİLİ (Maçehel) ,جامعلی ,Sancak (1578)#Kaza (1585)#Kaza#Nahiye (1924)#Nahiye (1928)#Çıldır eyâleti#LazistanTrabzon eyâleti#Rusya (1878-1921)#MerkezArtvin#BorçkaArtvin#
CAMUSTİL ,جامستل ,Nahiye (16.yy.)#Kaza (1848)#MaraşMaraşZülkadriye eyâleti#MaraşAdana eyâleti#
CANİK (Samsun) ,جانک ,Sancak (1520)#Sancak (1537)#Sancak (1846)#Sancak (1871)#Vilâyet (1924)#Rum eyâleti#Sivas eyâleti#Trabzon eyâleti#Trabzon vilâyeti#Samsun#
Canik (GEDİKBULAK) ,جانک ,Nahiye Mrk. TimarMerkezVan#
Canut (YENİSU) (Nederen) ,جانوط ,Köy#Nahiye (1936)#ValirMuşBitlis#GençBingöl#
CAR ,جار ,Şehir MedineHicazS. Arabistan#
CASİM ,جاسم ,Nahiye (1865) EzraHavranSuriye vilâyeti#
CAYRA ,جايره ,Nahiye Mrk.#Kasaba (Kürtün kazasının#merkezi Uluköy’e#nakledilince Cayra da#“.zkürtün” adıyla ayrı bir#kasaba durumunda kaldı)#KürtünTorulGümüşhane#MerkezKürtünGümüşhane#
Cayvar (BÖLMEPINAR) ,جايوار ,Köy (Danişmendliler#zamanında Samsun ve#Çarşamba yöresinin tek kaza#merkezi.)#MerkezÇarşambaSamsun#
CEBA‘ ,جباع ,Kaza (1855) Bilâd-ı BişaraSayda eyâleti#
CEBARAT ,جبارات ,Kabile (nahiye) Bi’rüssebKudüsFilistin#
CEBE ve ALUS ,جبه و آلوس ,Nahiye AnaBağdadBağdad vilâyeti#
CEBECERİK ,جبه جرک ,Kaza (1830) ÇıldırErzurum eyâleti#
Cebel (Pavli) (SÜTÇÜLER) ,جبل ,Nahiye (1868)#Nahiye (1924)#Kaza (1938)#EğirdirHamidKonya vilâyeti#Eğirdir Isparta#Isparta#
CEBEL ,جبل ,Kaza (16.yy.) İçilKaraman eyâleti#
CEBEL ,جبل ,Kaza (1865)#Kaza (1919)#GümülcineEdirne vilâyeti#GümülcineYunanistan#
CEBELE (Zû Cebele) ,جبله ,Kasaba Yemen#
CEBELE (Ceble) (Lazkiye) ,جبله ,Nahiye (1517)#Kaza (1800)#Sancak (1830)#Kaza (19.yy.)#Kaza (1888)#Kaza (1912)#TrablusArap vilâyeti#ŞamŞam eyâleti#Şam eyâleti#Trablusşam eyâleti#Beyrut vilâyeti#LazkiyeBeyrut vilâyeti#
Cebel-i Akra (Ordu) (YAYLÂDAĞI) ,جبل اقرع ,Nahiye (1517)#Kaza (17.yy.)#Nahiye (1865)#Kaza (1939)#HalepArap vilâyeti#AntakyaHalep eyâleti#Cisr-i şugûrHalep vilâyeti#Hatay#
CEBEL-İ A’LÂ ,جبل اعلا ,Nahiye (1517) HalepArap vilâyeti#
CEBEL-İ ALİ ,جبل علی ,Nahiye (16.yy.) MerkezKayseriKaraman eyâleti#
CEBEL-İ ALUS ,جبل علوس ,Nahiye (1882) AnaZor sancağı#
CEBEL-İ GARBİ (Garbiye) (Kasr-ı Yifrin) ,جبل غربی ,Sancak (1848)#Sancak#Trablusgarb eyâleti#Libya#
CEBEL-İ ASSAL ,جبل عسال ,Kaza (1520) ŞamŞam eyâleti#
CEBEL-İ BER‘ ,جبل برع ,Nahiye (1871) MerkezHudeydeYemen vilâyeti#
CEBEL-İ BENİ ÂLİM ,جبل بنی عالم ,Nahiye (1517) HalepArap vilâyeti#
Cebelibekeret (Yarpuz) (OSMANİYE) ,جبل برکت ,Sancak (1877)#Vilâyet (923-33)#Adana vilâyeti#Cebelibereket vilâyeti#
CEBEL-İ BERİŞA (Barişa) ,جبل بريشا ,Nahiye (1517)#Nahiye (1520)#HalepArap vilâyeti#HalepHalep eyâleti#
CEBEL-İ CİSR ,جبل جسر ,Nahiye (1571) İbbTaizzYemen vilâyeti#
CEBEL-İ DÜRÛZ (Süveyde) ,جبل دروز ,Kaza (16.yy.)#Kaza (1865)#Vilâyet (1943)#HavranŞam eyâleti#HavranSuriye vilâyeti#Suriye#
CEBEL-İ DÜRZİ ,جبل درزی ,Sancak (1856) Sayda eyâleti#
CEBELÜL EKRAD ,جبل الاکراد ,Kaza (1847)#Nahiye (1888)#LazkiyeSayda eyâleti#SahyunLazkiyeBeyrut vilâyeti#
CEBEL-İ ERCİYES ,جبل ارجيس ,Nahiye (16.yy.)#Kasaba#MerkezKayseriKaraman eyâleti#Erciyes (Zincidere)#
CEBEL-İ HABEŞ ,جبل حبش ,Nahiye (1873) HicriyeTaizzYemen vilâyeti#
CEBEL-İ HAMİDE ,جبل حميده ,Nahiye (1517) Salhad-AclunArap vilâyeti#
CEBEL-İ HAMRİN ,جبل حمرين ,Sancak (16. yy.) Şehrizor eyâleti#
CEBEL-İ HUNEYN ,جبل هونين ,Nahiye (1888) MerciuyûnBeyrutBeyrut vilâyeti#
CEBEL-İ KALAMON (Duma) ,جبل قلمون ,Kaza (1520)#Kaza (1865)#ŞamŞam eyâleti#ŞamSuriye vilâyeti#
CEBEL-İ KIBLÎ ,جبل قبلی ,Nahiye (1517) GazzeArap vilâyeti#
CEBEL-İ KOZAN ,جبل قوزان ,Sancak (19.yy.) Sivas eyâleti#
CEBEL-İ KOZAN-I SAHİLİ ,جبل قوزان ساحلی ,Kaza (1848) MaraşAdana eyâleti#
CEBEL-İ KOZAN-I ŞARKÎ ,جبل قزان شرقی ,Kaza (1848)#Kaza (1860-1866)#BozokBozok eyâleti#BozokAnkara#
"CEBEL-İ LÜBNAN (Beytüddin, Deyrülkamer) ",جبل لبنان ,Sancak (1852)#Sancak (1856)#Sancak (1861)#Halep eyâleti#Sayda eyâleti#Müstakil sancak#
CEBEL-İ MERİS (Atebât) ,جبل مريس ,Nahiye Ka’tabaTaizzYemen vilâyeti#
CEBEL-İ NASARA ,جبل نصارا ,Sancak (1852)#Sancak (1856)#Kaza (1860)#Halep eyâleti#Sayda eyâleti#LazkiyeŞam eyâleti#
CEBEL-İ REYHAN ,جبل ريحان ,Kaza (1860)#Nahiye (1861)#Cebel-i DürziSayda eyâleti#CezinCebel-i Lübnan#
CEBEL-İ RİME ,جبل ريمه ,Kaza (1871) HudeydeYemen vilâyeti#
CEBEL-İ SEMAN (Hantuman) ,جبل سمعان ,Nahiye (1517)#Nahiye (1520)#Kaza (1888)#HalepArap vilâyeti#HalepHalep eyâleti#Halep vilâyeti#
CEBEL-İ İYAL-İ SERİH ,جبل عيال سريح ,Nahiye (1871) SanaYemen vilâyeti#
CEBEL-İ SÜMMAK ,جبل سماک ,Nahiye (1517) HalepArap vilâyeti#
CEBEL-İ ŞAMİ ,جبل شامي ,Nahiye (1517) Gazze Arap vilâyeti#
CEBEL-İ ŞARK ,جبل شرق ,Nahiye (1871) AnisYemenYemen vilâyeti#
CEBEL-İ TERİŞHA ,جبل تريشحا ,Kaza (1660) AkkaSayda eyâleti#
CEBELİYE ,جبليه ,Kaza (1328 salnamesinde) KatarNecidHabeş eyâleti#
CEBHE ALİ ,جبهه علی ,Kaza (17.yy.) ŞamŞam eyâleti#
CEBİN ,جبين ,Nahiye (1871) RidaSanaYemen vilâyeti#
CEDİD ,جديد ,Nahiye (Orhangazi’de halen#“Cedid” önekli iki köy var)#OrhangaziBursaHudavendigâr vilâyeti#
CEDİD ,جديد ,Nahiye (1965)#Nahiye (1919)#İskeçeGümülcineEdirne vilâyeti#İskeçeGümülcineYunanistan#
CEDİD DOĞAN ,جديد طوغان ,Sancak (1812) Silistre eyâleti#
CEDİDE ,جديده ,Kaza (1851) DivaniyeBağdad maa Şehrizor eyâleti#
CEDİDE ,جديده ,Kaza Mrk.#Kaza Mrk. (1888)#ŞufCebel-i Lübnan#MerciuyûnBeyrutBeyrut vilâyeti#
CEFARE ,جفاره ,Nahiye MerkezTrablusgarbLibya#
CEHRAN ,جهران ,Nahiye (1871) AnisSanaYemen vilâyeti#
CELÂ ,جلا ,Kaza Mrk. Ekin.züKahramanmaraş#
CELÂLLI ,جلاللی ,Nahiye HafikSivas#
CELEBLİ ,جلبلی ,Nahiye (1865)#Nahiye (1919)#İskeçeGümülcineEdirne vilâyeti#İskeçeGümülcineYunanistan#
CELİKANLIYURT ,جليکانلی يورد ,Nahiye Mrk. YazyurduGürünSivas#
CELÛLA ,جلولا ,Kasaba (1574) Tunus eyâleti#
CEMAAYN-İ EVVEL ,جماعين اول ,Nahiye NablusBelkaBeyrut vilâyeti#
CEMAAYN-İ SÂNİ ,جماعين ثانی ,Nahiye NablusBelkaBeyrut vilâyeti#
CEMERNİK ,جمرنيک ,Nahiye (1924) LorosPrevezeYanya vilâyeti#
CEMİLBEY (Çorak) ,جميل بک ,Nahiye#Nahiye (1924)#Mecit.züÇorum#MerkezÇorum#
CEMİLE ,جميله ,Kasaba Cezayir#
CEMİLE ,جميله ,Nahiye Cebel-i HarazSanaYemen#
Cencige (ÇAĞLAYAN) ,جنجکه ,Nahiye#Nahiye (1924)#MerkezErzincanErzurum vilâyeti#MerkezErzincan#
CEND ,جند ,Kasaba Yemen#
CENGERLİ (Esirgâh=Doğandere) ,جنکرلی ,Nahiye#Nahiye (1924)#RefahiyeErzincanErzurum#RefahiyeErzincan#
CENGERLİ ,جنکرلی ,Nahiye#Köy#BabaeskiKırkkiliseEdirne#MerkezBabaeskiKırklareli#
CENİN ,جنين ,Nahiye (1517)#Kaza (1614)#Kaza (1660-1888)#Kaza (1902)#Kaza (1912)#SafedArap vilâyeti#NablusSayda eyâleti#BelkaBeyrut vilâyeti#BeyrutBeyrut vilâyeti#NablusBeyrut vilâyeti#
CENNETÂBÂD (Taşburun) ,جنت آباد ,Nahiye (1934)#Nahiye (1992)#IğdırKars#MerkezIğdır#
