İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
ESBKEŞAN maa KOÇHİSAR	İnevi					اسبکشان مع قوچ حصار	Kaza		Esbkeşan cemaat adıdır. Koçhisar Ankara’ya geçti. İnevi de Cihanbeyli’nin merkezi oldu. Cihanbeyli’nin halen “Atçeken” mahallesi de vardır. Atçeken maddesine de müracaat			Konya	Konya																																																													
ESENÇAY	Bidevi					اسن چای	Nahiye					Erbaa	Tokat	Nahiye	1944				Taşova	Amasya																																																						
ESENDERE	Bajirge					اسن دره	Nahiye	1888			Gevar	Hakkâri	Van	Nahiye	1936				Yüksekova	Hakkâri																																																						
ESENLER						اسنلر	Kaza	~1990					İstanbul																																																													
ESFAKS	Sfax					اسفاقس	Kasaba						Tunus eyâleti																																																													
Esirgâh	DOĞANDERE					اسيرکاه	Nahiye merkezi				Cengerli	Refahiye	Erzincan																																																													
Esesi	ÇATALARMUT					عسسی	Nahiye	1865			Merkez	Erzincan	Erzurum vilâyeti	Nahiye	1924				Merkez	Erzincan																																																						
ESİROĞLU	Güng.rmüş					اسير اوغلی	Nahiye					Maçka	Trabzon																																																													
ESKİ					Köylerinin tamamı Çekerek’te. O zaman Çekerek yok, şimdi Eski yok. 1928 salnamesinde Eski k.yü var. Bu köy şimdi Zile’de kalmış olabilir. Zile’nin İğdir nahiyesine bağlı Eskiderbent. Eskikrampa köyleri var.	اسکی	Nahiye	1865			Zile	Tokat	Sivas vilâyeti	Nahiye	1926				Sorgun	Yozgat	Nahiye	~1940					Lağvedilmiş																																															
ESKİANTALYA	Selimiye					اسکی آنطاليا	Köy		Tarihi şehir yeri.		Merkez	Manavgat	Antalya																																																													
Eskibaba	Baba-yı atik	BABAESKİ				اسکی بابا	Kaza	1891				Kırkkilise	Edirne	Kaza	1924					Kırklareli																																																						
ESKİ CUMA	Cuma-ı atik	Tirgovişte				اسکی جمعه	Kaza	1873				Ruscuk	Tuna vilâyeti	Kasaba	1878			Osmanpazarı	Ruscuk	Bulgaristan eyâleti	Vilâyet	1908					Bulgaristan																																															
ESKİDİR						اسکيدير	Nahiye	1865			Niksar	Tokat	Sivas vilâyeti																																																													
ESKİHİSAR						اسکی حصار	Kaza	1811				Menteşe	Aydın eyâleti	Köy				Merkez	Yatağan	Muğla																																																						
ESKİHİSAR						اسکی حصار	Kaza	1865				Filibe	Edirne vilâyeti																																																													
Eskikâhta	KOCAHİSAR					اسکی کاحته	Nahiye merkezi				Alut	Kâhta	Malatya	Köy				Damlacık	Kâhta	Adıyaman																																																						
Eskikarahisar	İscekarahisar	İSCEHİSAR				اسکی قره حصار	Köy			Merkez	Merkez	Karahisar-ı Sahib	Hudavendigâr vilâyeti	Nahiye					Merkez	Afyonkarahisar																																																						
ESKİKIRIM	Salgat					اسکی قريم	Kasaba				Kefe	Tavride	Kırım																																																													
ESKİL					Eski il.	اسکی ايل	Kaza	16. yy.				Konya	Karaman eyâleti	Kasaba				Sultanhan	Aksaray	Niğde	Kaza	~1990					Aksaray																																															
ESKİMALATYA						اسکی ملاطيه	Nahiye		1990’da bu bölgede Battalgazi ilçesi kuruldu.			Merkez	Malatya																																																													
ESKİMUSUL						اسکی موصل	Sancak	16. yy.					Musul eyâleti																																																													
ESKİPAZAR	Viranşehir	Mecidiye	Kıran			اسکی بازار	Kaza	~1530				Bolu	Anadolu eyâleti	Sancak	1841					Kastamonu eyâleti	Nahiye	1845			Çerkeş	Çankırı	Kastamonu eyâleti	Kaza	1946				Çankırı	Kaza	1995	Bolu ile birlikte sancak olup merkez Boludur. Bu dönemde Bolu’ya “Viranşehir sancağı” da denmiştir.)			Karabük																																			
ESKİŞEHİR						اسکی شهر	Sancak merkezi	1393				Sultanönü	Anadolu eyâleti	Kaza	1831				Kütahya	Hudavendigâr eyâleti	Kaza	1867				Kütahya	Hudavendigâr vilâyeti	Vilâyet	1924				Eskişehir																																									
ESKİZAĞRA	ZaĞra-i atik	Stara-Zagora				اسکی زغره	Sancak	1851					Edirne eyâleti	Kaza	1865				Filibe	Edirne vilâyeti	Sancak	1878					Rumeli-i Şarkî vilâyeti	Vilâyet	1908				Bulgaristan																																									
ESKUB						اسقب	Kasaba					Bingazi	Libya																																																													
Esküne	UĞURCA					اسکونه	Nahiye	1867			Merkez	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Şebinkarahisar	Giresun																																																						
ESLEMEZ						اسلمز	Nahiye	1865			Gümüşhacıköy	Amasya	Sivas	Köy				Merkez	Gümüşhacıköy	Amasya																																																						
ESPİYE	Esbiye					اسبيه	Köy		Esbiyalu köyü.	Yağlıdere	Kürtün	Trabzon	Rum eyâleti	Nahiye	1868			Tirebolu	Trabzon	Trabzon vilâyeti	Nahiye	1924				Tirebolu	Giresun	Kaza	1957				Giresun																																									
EŞEN	Kestep					اشن	Nahiye	1867			Mekri	Menteşe	Aydın vilâyeti	Nahiye	1924				Fethiye	Muğla																																																						
EŞME	Takmak	Elvanlar				اشمه	Kaza	1865				Saruhan	Aydın vilâyeti	Kaza	1924					Manisa	Kaza	1953					Uşak																																															
EŞMUN	Eşmuneyn				Mısır’da bu adda iki kasaba olup “Eşmum” da denir.	اشمون	Kasaba						Mısır eyâleti																																																													
EŞPOZİ						اشپوزی	Kasaba					Karadağ	Yugoslavya																																																													
ETİLİ						اتيلی	Nahiye					Çan	Çanakkale																																																													
ETİMESGUT						اتيمسغود	Nahiye	1928				Merkez	Ankara	Kaza	~1990					Ankara																																																						
ETRAF-I ŞEHİR						اطراف شهر	Nahiye	1866			Pazarcık	Maraş	Halep vilâyeti																																																													
ETRAF-I ŞEHİR						اطراف شهر	Nahiye	1867			Merkez	Kütahya	Hudavendigâr vilâyeti																																																													
ETRAF-I ŞEHİR						اطراف شهر	Nahiye	1866			Merkez	Maraş	Halep vilâyeti																																																													
ETRENİÇE						اترنيچه	Kaza	17. yy.				Travnik	Bosna eyâleti																																																													
ETROPOL	Etropole					اتروپول	Kaza	~1855				Sofya	Niş eyâleti	Kaza	1908				Sofya	Bulgaristan																																																						
EVCİLER maa SALMANLI						اوجيلر مع سلمانلی	Kaza	~1846				Bozok	Bozok eyâleti																																																													
EVCİLER						اوجيلر	Kasaba					Dazkırı	Afyon	Kaza	~1990					Afyonkarahisar																																																						
EVCİLER						اوجيلر	Nahiye					Bayramiç	Çanakkale																																																													
EVEREK						اوه رک	Kaza merkezi	~1530			Develi	Niğde	Karaman eyâleti	Kaza merkezi	1924				Develi	Kayseri																																																						
Everek	ÖRENCE					اوه رک	Nahiye					Bayburt	Gümüşhane	Köy					Maden	Bayburt																																																						
EVKAF ÇİFTLİĞİ						اوقاف چفتلک	Kaza	17. yy.				İçil	Karaman eyâleti	Köy				Merkez	Silifke	İçel																																																						
EVREN	ÇıkınaĞıl					اوره ن	Kasaba				Merkez	Şereflikoçhisar	Ankara	Kaza	~1990					Ankara																																																						
EVRENCİK						اورنجک	Nahiye					Vize	Kırklareli	Köy					Sergen	Kırklareli																																																						
Evrenya	ABANA					اورنيه	Kaza	~1841				Sinop	Kastamonu eyâleti	Nahiye	1865			İstefan	Sinop	Kastamonu vilâyeti	Kaza	1945					Kastamonu vilâyeti																																															
Evreşe	KADIKÖY					اورشه	Kaza	~1846				Gelibolu	Edirne eyâleti	Nahiye	1865			Merkez	Gelibolu	Edirne vilâyeti	Nahiye	1926				Gelibolu	Çanakkale																																															
EYERCİ						اکرجی	Nahiye					Devrek	Zonguldak																																																													
EYLE						ايله	Kasaba		Kasaba ve antik şehir			Akabe	Ürdün																																																													
EYMİR						ايمير	Nahiye	1877			Keban	Mamûretülaziz	Mamûretülaziz vilâyeti	Köy	1926			Merkez	Arguvan	Malatya																																																						
EYMİR						ايمير	Nahiye					Sorgun	Yozgat																																																													
EYNESİL						اينسل	Nahiye					Görele	Giresun	Kaza	1960					Giresun																																																						
EYÜP						ايوب	Mahalle, semt						İstanbul	Kaza	1936					İstanbul																																																						
EYÜB-İLİ						ايوب ايلی	Nahiye	~1515			Aksaray	Aksaray	Karaman eyâleti	Kaza	~1530				Niğde	Karaman eyâleti																																																						
EZİNE	KazdaĞıpazarı					ازينه	Kaza	~1530				Biga	Anadolu eyâleti	Kaza	1886					Biga sancağı	Kaza	1924					Çanakkale																																															
Ezine	SARAYKÖY					ازينه	Kaza	~1530				Kütahya	Anadolu eyâleti	Kaza	1811				Denizli	Aydın eyâleti	Kaza	1924					Denizli																																															
EZİNEPAZARI	Zıgala=Aydınca					ازينه بازاری	Nahiye	~1530			Merkez	Amasya	Rum eyâleti	Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Nahiye	1924				Merkez	Amasya																																															
Ezbider	AKINCILAR					ازبيدر	Nahiye				Suşehri	Karahisar-ı Şarkî	Sivas	Nahiye	1924				Suşehri	Sivas																																																						
EZRA‘						ازرع	Kaza	1865				Havran	Suriye vilâyeti																																																													
Fahran	İÇPINAR					فاخران	Nahiye merkezi	1878		Perhangök	Çapakçur	Genç	Bitlis	Nahiye merkezi				Perhangök	Çapakçur	Elâzığ	Nahiye merkezi	1936			Ilıcalar	Merkez	Bingöl																																															
Fakılı	YENİFAKILI					فقيهيلی	Nahiye					Boğazlıyan	Yozgat	Kaza	~1990					Yozgat																																																						
FAKİYE						فاکيه	Nahiye	1865			Ba‘lbek	Şam	Suriye vilâyeti																																																													
FALÇI maa HUŞ						فالچی مع هوش	Kaza	16. yy.				Boğdan	Boğdan eyâleti	Kaza	1859					Romanya																																																						
FALRE	Phalere					فالره	Liman		Atina-Pire arasında				Yunanistan																																																													
FALUCA						فالوجه	Nahiye	1874				Gazze	Kudüs sancağı																																																													
FALUGA						فالوغه	Nahiye	1856				Cebel-i Nasara	Sayda eyâleti																																																													
FAMAGOSTA	Magosa					فاماغوسته	Şehir						Kıbrıs																																																													
Fariske	GÖKTEPE					فارسکه	Nahiye					Ermenek	Konya	Nahiye	1989				Ermenek	Karaman																																																						
FARİSKUR						فارسکور	Sancak	1520					Mısır eyâleti	Kaza	1786				Mansûriye	Mısır eyâleti																																																						
Farsala	ÇATALCA					فرساله	Kasaba	1867				Yenişehir	Tırhala sancağı	Kasaba	1881					Yunanistan																																																						
FASUL						فصول	Sancak	1520					Diyarbakır eyâleti																																																													
FAŞİR						فاشر	Müdiriyet merkezi					Darfur	Mısır eyâleti																																																													
FATA						فاطه	Nahiye merkezi	1867		Gökçen	Tire	Aydın	Aydın vilâyeti	Nahiye merkezi	1924			Gökçen	Tire	İzmir																																																						
FATİH						فاتح	Kaza	1936					İstanbul																																																													
FATSA	Satılmış					فاتسه	Kaza	1520				Canik	Rum eyâleti	Kaza	~1600				Canik	Sivas eyâleti	Kaza	1846				Canik	Trabzon eyâleti	Kaza	1920				Ordu																																									
FAV						فاو	Kaza	1884				Basra	Basra vilâyeti																																																													
FAZLİYE						فضليه	Kasaba					Musul	Irak																																																													
FECRE						فجره	Kasaba						Umman																																																													
FEHR						فهر	Eyâlet						Macaristan																																																													
FEKE	Belenköy, Asmaca					فکه	Kale	1517			Sis	Sis	Arap vilâyeti	Kaza					Kozan	Adana	Kaza	1926					Adana																																															
FELÂHİYE						فلاحيه	Köy				Muncusun	Merkez	Kayseri	Nahiye					Merkez	Kayseri	Kaza	1957					Kayseri																																															
Felekâbâd	EĞİRDİR					فلک آباد	Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1846				Hamid	Karaman eyâleti	Kaza	1867				Hamid	Konya vilâyeti	Kaza	1924				Isparta																																									
FELENBEL						فلنبل	Nahiye	~1530			Sonisa	Sonisa-Niksar	Rum eyâleti																																																													
FELKİHAZE						فلکيهازه	Şehir						Macaristan																																																													
FELLÛCE						فلوجه	Kasaba	1867				Bağdad	Bağdad vilâyeti	Nahiye				Düleym	Bağdad	Irak																																																						
FELTRE						فلتره	Kaza				Belone	Venedik	İtalya																																																													
FENARİS maa EFRAZ						فنارس مع افراز	Kaza	17. yy.				Canik	Trabzon eyâleti	Köy				Tekkiraz	Ünye	Ordu																																																						
FENER						فنار	Kasaba				Kardiça	Tırhala	Tırhala eyâleti	Nahiye	1867			Margiliç	Preveze	Yanya vilâyeti																																																						
FEODOSYA	Kefe					فؤدوسيه	Kasaba					Tavride	Kırım																																																													
FEPİK	Efik					فپق	Kasaba					Şam	Suriye vilâyeti																																																													
FERİZLİ						فرزلی	Kasaba				Söğütlü	Merkez	Sakarya	Kaza	~1990					Sakarya																																																						
FERMUDE						فرموده	Nahiye	~1530			Bayramlı	Canik	Rum eyâleti																																																													
FERŞUT						فرشوط	Kasaba						Mısır																																																													
Fertek	AYDINYURT					فرتک	Nahiye	1864			Merkez	Niğde	Konya vilâyeti	Belde				Merkez	Merkez	Niğde																																																						
FEŞEN						فشن	Kasaba					Benisüveyh	Mısır																																																													
FETHİYE	Mekri, MeĞri					فتحيه	Kaza	~1530				Menteşe	Anadolu eyâleti	Kaza	1811				Menteşe	Aydın eyâleti	Kaza	1924					Muğla																																															
FEVKATTARİK						فوق الطريق	Nahiye	16. yy.			İskilip	Çorum	Rum eyâleti																																																													
FEVZİPAŞA						فوزی پاسا	Nahiye		1990’dan sonra kurulan Nurdağı ilçesinin merkez bucağını teşkil etti.			İslâhiye	Gaziantep																																																													
FINDIK	Perona					فندق	Nahiye	1880			Eruh	Siirt	Bitlis vilâyeti	Nahiye	1924				Eruh	Siirt	Nahiye	1990				Güçlükonak	Şırnak																																															
FINDIKLI	Viçe					فندقلی	Nahiye	1868			Hopa	Lazistan	Trabzon vilâyeti	Nahiye	1936				Hopa	Artvin	Kaza	1948					Artvin	Kaza	1953				Rize																																									
FIRKI						فرقی	Nahiye		1926`da lağvedildi.		Kulp	Genç	Bitlis																																																													
FIRNIZ ve ZEYTÜN						فرنس وَ زيتون	Nahiye	~1522			Maraş	Maraş	Zülkadriye eyâleti																																																													
FIRNIZ	Yolyanı, Fenk					فرنس	Kaza	~1840					Adana eyâleti	Nahiye	1924				Merkez	Maraş	Köy				Yenicekale	Merkez	Kahramanmaraş																																															
FIRT maa ŞAMİ						فرط مع شامی	Kaza	~1530				Karesi	Anadolu eyâleti	Kaza	1841				Karesi	Hudavendigâr eyâleti																																																						
Fırt	SUSURLUK					فرط	Nahiye	1867			Merkez	Karesi	Hudavendigâr vilâyeti	Kaza	1926					Balıkesir																																																						
Filadelfiya	ALAŞEHİR				Bergama Kralı Filadelf’e izâfeten kurulmuş. Diğer iki Filadelfiya Amerika ve İtalya’dadır	فيلادالفيا	Kaza	1867					Manisa																																																													
FİLAT	Filiatai					فيلات	Kaza	1867				Yanya	Yanya vilâyeti																																																													
FİLİBE	Plovdiv				Makedonya kralı II. Filib’in adına “Filipopol”, Türkler tarafından Filibe denildi. 18. yy.’da Bulgarlar da “Plovdiv” dediler. 1362 yılında Rumeli eyâletinin ilk merkezi oldu.	فلبه	Eyâlet merkezi	1362					Rumeli eyâleti	Sancak	1520					Edirne eyâleti	Sancak	1865					Edirne vilâyeti	Vilâyet merkezi	1878				Rumeli-i Şarkî vilâyeti	Vilâyet	1908				Bulgaristan																																			
FİLİBECİK						فلبه جک	Antik şehir					Drama	Selânik vilâyeti																																																													
FİLİPVİL	Philippeville					فليپ ويل	Kaza						Cezayir																																																													
FLORİNE						فيلورينه	Sancak	1520					Rumeli eyâleti	Kaza	1874				Manastır	Manastır vilâyeti	Kaza	1913					Yunanistan																																															
Filyos	HİSARÖNÜ					فليوس	Kaza	~1530				Bolu	Kastamonu eyâleti	Köy				Merkez	Merkez	Zonguldak	Nahiye	1944				Çaycuma	Zonguldak																																															
FİNİKE						فنيکه	Nahiye	1865			Elmalı	Teke	Konya vilâyeti	Kaza	1914					Teke sancağı	Kaza	1924					Antalya																																															
FİRAŞER	Frascher					فراشر	Nahiye	1867			Premedi	Ergiri	Yanya vilâyeti																																																													
FİRECİK						فره جک	Nahiye	1865			Merkez	Dedeağaç	Edirne vilâyeti	Nahiye	1919			Merkez	Dedeağaç	Yunanistan																																																						
Firedökse	ORMANDİBİ					فره دوکسه	Nahiye	1865			Merkez	Tokat	Sivas vilâyeti	Köy				Merkez	Almus	Tokat																																																						
FİRENKHİSARI						فرنکحصاری	Nahiye	~1530			Sonisa	Sonisa-Niksar	Rum eyâleti																																																													
FRENDA	Frendah					فرنده	Kasaba					Vahran	Cezayir eyâleti																																																													
FİSATO						فساطو	Kaza	1553				Cebel-i Garbî	Trablusgarb eyâleti																																																													
FİYER						فير	Nahiye	1867			Luşna	Berat	Yanya vilâyeti																																																													
FİYERİ						فيه ری	Kaza merkezi	1867			Luşna	Berat	Yanya vilâyeti																																																													
FİYUME						فيومه	Kasaba		iskele				Avusturya																																																													
FİZAN	Merzûk					فزان	Sancak	1842					Trablusgarb eyâleti																																																													
FOÇA-İ ATİK	Eskifoça	Karacafoça				فوچهء عتيق	Kaza	~1826				Saruhan	Aydın eyâleti	Kaza	1867				İzmir	Aydın vilâyeti	Kaza	1924					İzmir																																															
FOÇA-İ CEDİD	Yenifoça, Yenice					فوچهء جديد	Nahiye	1867			Foça	İzmir	Aydın vilâyeti	Nahiye	1927				Foça	İzmir																																																						
FOÇATEYN					Eski ve Yenifoça	فوچه تين	Kaza	1811				Saruhan	Aydın eyâleti	Kaza	1867				İzmir	Aydın vilâyeti	Kaza	1924					İzmir																																															
FOÇA	Fogga					فوچه	Eyâlet						İtalya																																																													
FOÇA	Fotcha					فوچه	Kaza	1866				Bosna	Bosna vilâyeti																																																													
FOGARAŞ						فوغاراش	Kasaba					Transilvanya	Romanya																																																													
FOKŞANİ maa REMNİK						فوقشانی مع رمنيق	Kaza	1562				Büyük Eflâk	Eflâk eyâleti	Kaza	1878				Büyük Eflâk	Romanya																																																						
FOL	Büyükliman					فول	Kaza merkezi					Vakfıkebir	Trabzon																																																													
FOLİNYO	Foligno					فولينيو	Kasaba					Preveze	İtalya																																																													
FONFKİRHAN	Funfkirchen					فونفکيرخن	Şehir		Eyâlet Mrk.			Baranya	Macaristan																																																													
FORNİ	Phurnes					فورنی	Ada						Cezayir-i Bahrisefid~Yunanistan																																																													
Fota	Fata	GÖKÇEN				فوطه	Nahiye	1826			Tire	Aydın	Anadolu eyâleti	Nahiye	1924				Tire	İzmir																																																						
FOYNİÇE						فوينيچه	Kaza	1866				Bosna	Bosna vilâyeti																																																													
FRESTE						فرسته	Nahiye	1867			Menlik	Siroz	Selânik vilâyeti																																																													
FRİZVİK						فريز ويک	Nahiye	1877			Merkez	Priştine	Kosova																																																													
FUH						فوه	Kasaba					Reşid	Mısır																																																													
FURUNE	Phurues					فرونه	Takımada					Cezayir-i Bahr-i Sefid	Yunanistan																																																													
FUSTAT						فسطاط	Kasaba					Kahire	Mısır																																																													
FÜLEK	Filek					فولک	Sancak	1548					Budin eyâleti	Sancak	~1609					Eğri eyâleti	Sancak	1687					Macaristan																																															
FÜTÛH	Füt.h-ı Beni Rical					فتوح	Nahiye	1517				Trablus	Arap vilâyeti	Kaza	1856				Cebel-i Nasara	Sayda eyâleti	Nahiye	~1865				Kisrevan	Cebel-i Lübnan																																															
GABROVA						غبرووه	Kaza	1855				Tırnova	Vidin eyâleti	Kaza	1864				Ruscuk	Tuna vilâyeti	Nahiye	1865				Edirne	Edirne vilâyeti	Vilâyet	1908				Bulgaristan																																									
GAÇKA	Gaçko	Metuhiye				غاچقه	Kaza	~1580				Hersek	Bosna eyâleti	Sancak	1875					Hersek vilâyeti	Sancak	1878					Avusturya-Macaristan																																															
GADAMES	Ghadmes					غدامس	Sancak	1553					Trablusgarb eyâleti	Kaza	1863				Cebel-i Garbî	Trablusgarb eyâleti																																																						
Gaferiyad	Mahmutlar	KAZIM KARABEKİR				غفرياد	Kaza	16. yy.				Konya	Karaman eyâleti	Köy				Merkez	Karaman	Konya	Nahiye					Karaman	Konya	Kaza	1989				Karaman																																									
GALATA						غلطه	Sancak	1588					Cezayir-i Bahr-i Sefid (Kaptanpaşa) eyâleti	Semt					Beyoğlu	İstanbul																																																						
Gaman	ÇAYIRKENT	Gökçepınar				غمان	Nahiye					Merkez	Samsun																																																													
GAMAS						غماص	Nahiye	1851			Şamiye	Divaniye	Bağdad																																																													
GÂMİD	RaĞdan					غامد	Kaza	1871				Asir	Yemen vilâyeti																																																													
GANOZ						غانوز	Nahiye	1865			Mürefte	Gelibolu	Edirne	Köy		1928’de mevcut, şimdi bulunamadı		Merkez	Şarköy	Tekirdağ																																																						
GARB-I AKSÂ						غرب اقصی	Nahiye	1861				Şuf	Cebel-i Lübnan sancağı																																																													
GARB-I A‘LÂ						غرب اعلا	Nahiye	1861				Şuf	Cebel-i Lübnan sancağı																																																													
GARB-I BEYRUT						غرب بيروت	Nahiye	1517				Şam	Arap vilâyeti																																																													
GARBİLBİKA						غرب البقا	Kaza	1856				Cebel-i Dürzi	Sayda eyâleti																																																													
GARB-I FEVKANÎ ve TAHTANÎ						غرب فوقانی وَ تحتانی	Kaza	1856				Cebel-i Dürzi	Sayda eyâleti																																																													
GARBE						غربه	Nahiye		Suriye’de kalmış olabilir.		Kilis	Halep	Halep vilâyeti																																																													
GARBE ve RAHBE						غربه وَ رحبه	Nahiye	1867			Rezare	Kerbelâ	Bağdad																																																													
GARBİ	Âmid-i Garbî					غربی	Nahiye	17. yy.			Merkez	Âmid	Diyarbakır																																																													
GARBİ	El-vâdi‘l-garbî					غربی	Nahiye	1842			Merzûk	Fizan	Trablusgarb																																																													
GarbîkaraaĞaç	Asikaraağaç	ACIPAYAM				غربی قره آغاج	Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1888				Denizli	Aydın vilâyeti	Kaza	1924					Denizli																																															
GARBİYE	Tanta					غربيه	Sancak	19. yy.					Mısır eyâleti																																																													
GARBİYE						غربيه	Nahiye	1867			Bedre	Bağdad	Bağdad vilâyeti																																																													
GARDİÇE						غارديچه	Kaza	1867				Yenişehir	Yanya vilâyeti																																																													
GARGA						غارغه	Kasaba						Çerkezistan	Kasaba					Abaza	Rusya																																																						
GARYAN					Müstahkem bir kasabadır.	غريان	Kaza	1553				Trablusgarb	Trablusgarb eyâleti	Kaza					Trablusgarb	Libya																																																						
Garzan	YANARSU	Zok				غرزان	Kaza	~1871				Siirt	Bitlis vilâyeti	Kaza	1924					Siirt	Nahiye		1938’de kaza “Mısrıç” k.yüne nakledildi, adı da Kurtalan oldu. Garzan nahiye ve yeni adı Yanarsu oldu.			Kurtalan	Siirt																																															
GASTUNİ	Gastoune					غاستونی	Sancak	18. yy.					Mora eyâleti																																																													
GAT						غات	Kaza	1856			Fizan	Trablusgarb	Libya																																																													
GAVR						غور	Nahiye	1517		Salhad	Salhad	Aclun	Arap vilâyeti	Nahiye	1867			Humus	Hama	Suriye vilâyeti																																																						
GAVRİ						غوری	Kaza					Tiflis	Tiflis																																																													
GAYAGIB						غياغب	Nahiye	1865			Şeyhmiskin	Havran	Suriye vilâyeti																																																													
Gazi	GAZİKÖY					غازی	Nahiye	1865			Tonus	Sivas	Sivas vilâyeti	Köy				Akçakışla	Şarkışla	Sivas																																																						
GAZİANTEP	Ayntab	Gazi Ayntab				غازی عينتاب	Sancak	1517					Arap vilâyeti	Sancak	1830					Halep eyâleti	Kaza	1865				Halep	Halep vilâyeti	Vilâyet	1924				Gaziantep																																									
GAZİEMİR						غازی امير	Kaza	~1990					İzmir																																																													
GAZİ KÂŞÂN	Kal‘a-i Gazi					غازی کاشان	Sancak	16. yy.-1830					Şehrizor eyâleti																																																													
GAZİLER	Pernavut					غازيلر	Nahiye					Kulp	Bayazıt	Nahiye	1934				Tuzluca	Kars	Nahiye	1995				Tuzluca	Iğdır																																															
GAZİLER	Bardız					غازيلر	Nahiye					Sarıkamış	Kars	Nahiye	1946				Şenkaya	Erzurum																																																						
GAZİOSMANPAŞA	Göktepe					غازی عثمان پاشا	Köy				Rami	Eyüp	İstanbul	Nahiye	1958				Eyüp	İstanbul	Kaza	1963	Kü.ükk.y’ün Taşlıtarla semtinde kuruldu. Hadımköy bucağından alınan 8 köy de bu ilçeye bağlandı.)				İstanbul																																															
GAZİPAŞA	Selinti	Pazarcı				غازی پاشا	Kaza	16. yy.				İçil	Karaman eyâleti	Nahiye	1608			Anamur	İçil	Adana eyâleti	Kaza	1921					Teke sancağı	Nahiye	1926			Alanya	Antalya	Kaza	1948				Antalya																																			
GAZZE						غزّه	Sancak	1517					Arap vilâyeti	Sancak	16. yy.-1830					Şam eyâleti	Kaza	1856				Kudüs	Sayda eyâleti	Kaza	1874				Müstakil Kudüs sancağı																																									
GEBELER						کبه لر	Nahiye merkezi				Dağardı	Simav	Kütahya																																																													
Gebeme	TOPÇAM					کبمه	Nahiye	1867			Mesudiye	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye	1924				Mesudiye	Şebinkarahisar	Nahiye	1933				Mesudiye	Ordu																																															
GEBEN						کبن	Kale			Andırın	Maraş	Maraş	Zülkadriye eyâleti	Kaza merkezi	1865			Andırın	Maraş	Halep vilâyeti	Kasaba				Merkez	Andırın	Kahramanmaraş																																															
GEBİZ	Macar					کبيز	Nahiye					Serik	Antalya																																																													
GEBZE	Gekbuze					کبزه	Kaza	~1530				Kocaeli	Anadolu eyâleti	Kaza	1878				Kocaeli	Şehremâneti	Kaza	1924					Kocaeli																																															
GEÇEVAN						کچوان	Sancak	~1579					Kars eyâleti																																																													
GEÇEVAN maa KAĞIZMAN						کچوان مع قاغزمان	Kaza	1846				Kars	Erzurum eyâleti																																																													
Geçevan	TUNÇKAYA					کچوان	Köy				Kötek	Kağızman	Kars																																																													
Geçik	YILDIRAN					کچيک	Nahiye	~1530			Soğik	Bayburt	Rum eyâleti	Köy				Merkez	Horasan	Erzurum																																																						
GEÇİTLİ	Livin	Piyanis				کچيدلی	Nahiye	1888			Çölemerik	Hakkâri	Van vilâyeti	Nahiye	1926				Merkez	Hakkâri																																																						
GEÇNOS						کچنوس	Kaza	~1840				Viranşehir	Kastamonu eyâleti																																																													
Gedegara	VEZİRKÖPRÜ					کده غره	Kaza	~1530				Canik	Rum eyâleti	Kaza	1847				Amasya-Çorum	Sivas eyâleti	Kaza	1865				Amasya	Sivas vilâyeti	Kaza	1926				Samsun																																									
GEDİKBAŞI	Hamo	Karageban				کديکباشی	Nahiye	~1530			Divriği	Divriği-Darende	Rum eyâleti	Nahiye	1865			Divriği	Sivas	Sivas vilâyeti	Nahiye	1924				Divriği	Sivas																																															
